#Case NO.1
Old Assembly Line
1	D1
2	D2,D3,D4
3	F1
4	D6,D7,D8
5	R5
6	D9,D12
7	D11
8	R6,D13
9	R7

New Product Data
PPGraph_Operation
1	D1(160)
2	D2(100),R1(80)
3	D3(45),R2(40)
4	D4(35),R1(30),R2(40)
5	R3(75),F1(80),F2(80)
6	D5(40),F1(50)
7	D6(40),F2(50)
8	R3(40),F1(45)
9	D7(60),R4(90),F1(75)
10	D8(65),R4(90)
11	D9(50)
12	R5(145),F2(160)
13	D10(15),R5(23)
14	D11(180)
15	D12(120),R5(130),F2(150)
16	R6(30),F2(70),F3(65)
17	R6(106)
18	D13(33),F3(65)
19	D14(109),R7(120)
20	R7(60),R8(53),R9(45)

PPGraph_Precedence
1 2
2 5
3 4
4 5
5 6
6 7
5 8
5 9
6 10
6 12
7 11
8 12
9 12
10 13
11 14
12 15
13 16
14 16
15 17
16 17
17 18
18 19
18 20


#Case NO.2
Old Assembly Line
1	D1
2	D2,D3,D4
3	F1
4	D6,D7,D8
5	R5
6	D9,D12
7	D11
8	R6,D13
9	R8
10	R7
11	R4

New Product Data
PPGraph_Operation
1	D1(160)
2	D2(100),R1(80)
3	D3(45),R2(40)
4	D4(35),R1(30),R2(40)
5	R3(75),F1(80),F2(80)
6	D5(40),F1(50)
7	D6(40),F2(50)
8	R3(40),F1(45)
9	D7(60),R4(90),F1(75)
10	D8(65),R4(90)
11	D9(50)
12	R5(145),F2(160)
13	D10(15),R5(23)
14	D11(180)
15	D12(120),R5(130),F2(150)
16	R6(30),F2(70),F3(65)
17	R6(106)
18	D13(33),F3(65)
19	D14(109),R7(120)
20	R7(60),R8(53),R9(45)
21	R8(52),R10(28)
22	R8(55),R9(30)
23	R8(50),R10(30)
24	F4(34),F5(40)
25	R11(40),F4(36),F5(42)

PPGraph_Precedence
1 2
2 5
3 4
4 5
5 6
6 7
5 8
5 9
6 10
6 12
7 11
8 12
9 12
10 13
11 14
12 15
13 16
14 16
15 17
16 17
17 18
18 19
18 20
18 21
18 22
18 23
19 24
20 24
21 24
22 24
23 24
19 25
20 25
21 25
22 25
23 25


#Case NO.3
Old Assembly Line
1	D1
2	D2,D3,D4
3	F1
4	D6,D7,D8
5	R5
6	D9,D12
7	D11
8	R6,D13
9	R8
10	R7
11	R4
12	R12
13	D15,R13

New Product Data
PPGraph_Operation
1	D1(160)
2	D2(100),R1(80)
3	D3(45),R2(40)
4	D4(35),R1(30),R2(40)
5	R3(75),F1(80),F2(80)
6	D5(40),F1(50)
7	D6(40),F2(50)
8	R3(40),F1(45)
9	D7(60),R4(90),F1(75)
10	D8(65),R4(90)
11	D9(50)
12	R5(145),F2(160)
13	D10(15),R5(23)
14	D11(180)
15	D12(120),R5(130),F2(150)
16	R6(30),F2(70),F3(65)
17	R6(106)
18	D13(33),F3(65)
19	D14(109),R7(120)
20	R7(60),R8(53),R9(45)
21	R8(52),R10(28)
22	R8(55),R9(30)
23	R8(50),R10(30)
24	F4(34),F5(40)
25	R11(40),F4(36),F5(42)
26	R11(45),F4(42)
27	R11(55),F4(30),F5(32)
28	R12(160)
29	D15(100)
30	R12(73),R13(70)

PPGraph_Precedence
1 2
2 5
3 4
4 5
5 6
6 7
5 8
5 9
6 10
6 12
7 11
8 12
9 12
10 13
11 14
12 15
13 16
14 16
15 17
16 17
17 18
18 19
18 20
18 21
18 22
18 23
19 24
20 24
21 24
22 24
23 24
19 25
20 25
21 25
22 25
23 25
24 26
25 26
26 27
26 28
27 29
28 29
28 30
29 30
